claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,verifiable_kosis,unverifiable_reason,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,extraction_model,prompt_version,extracted_at
A0003-C043,-,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",▲ 한국사·한국어시험 공군 가산점 폐지 =2025년 6회 차(9월) 공군 병 모집 때부터 한국사·한국어능력시험 가산점이 폐지된다.,국내공식통계,N,N,정보부족,재정·조세,정부 지원금,"장병 내일준비적금, 정부 지원금, 월 최대",-,-,-,-,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0003-C047,-,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,"▲ '20세 병역판정검사 후 입영’ 시범 실시 =그동안 모든 병역의무자가 19세에 병역판정검사를 받은 뒤 현역병 입영을 다시 신청해야 했지만, 2025년부터는 20세에 한 번의 신청으로 병역판정검사를 받고 3개월 후 원하는 날짜에 입영할 수 있는 제도가 시범 실시된다.",추가 지원 대상은 차상위 이하 계층 청년에서 전체로 확대한다.,국내공식통계,N,N,정보부족,재정·조세,전기차 보조금,"청년, 전기차, 보조금, 국비 지원액",-,청년,-,-,"차상위 이하 계층 청년, 전체",-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,mid,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C011,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,2025년 한국 산업 현장의 주역이 로봇이란 말이 과언이 아닐 정도다.,하지만 우리 산업의 현장은 이제 로봇이 좌지우지한다.,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,국내공식통계,N,N,정보부족,생산·산업,로봇 사용 정도,"한국 산업 현장, 로봇, 주역",-,-,-,-,-,-,-,2025,-,-,모호,-,-,-,-,-,-,-,-,-,2025년 한국 산업 현장의 주역이 로봇이란 말이 과언이 아닐 정도다.,low,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C012,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025년 한국 산업 현장의 주역이 로봇이란 말이 과언이 아닐 정도다.,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,해외통계·정책,N,N,해외통계,무역,로봇 밀도,"국제로봇연맹, IFR, 직원, 로봇수",-,-,-,-,-,-,-,2023,-,-,확정,-,-,-,-,-,-,-,-,-,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C013,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,싱가포르와 중국이 그 뒤를 이었다.,해외통계·정책,N,N,해외통계,무역,로봇 밀도,"로봇 밀도, 공장 직원 한 명당 로봇수",-,-,-,-,-,-,-,2023,-,-,확정,-,-,-,-,-,-,-,-,-,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C015,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,싱가포르와 중국이 그 뒤를 이었다.,"대기업뿐 아니라, 중견·중소기업 제조업 현장에서도 로봇은 이제 각종 공정을 해결하는 ‘필요 조건’이다.",기타,N,N,정보부족,기타,로봇 보급 대수,"전 세계 평균, 1만명당, 162대, 배",-,-,-,-,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,mid,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C020,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,가파른 경제성장 이후 저출산·고령화 사회로 진입하면서 ‘사람’에서 ‘로봇’으로 빠르게 옮겨가고 있는 산업 현장을 살펴봤다.,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",국내공식통계,N,N,정보부족,기타,로봇 밀도,"로봇 밀도, 제조업 자동화",-,-,-,-,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",low,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C021,A0004-C021-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,국제로봇연맹 다카유키 이토 회장은 “강력한 자동차 산업과 세계적으로 유명한 전자제품 부문을 보유한 한국은 산업용 로봇을 가장 많이 사용하는 국가”라고 한 것도 이 때문이다.,국내공식통계,Y,Y,-,기타,로봇 밀도,"로봇 밀도, 제조 자동화",-,-,-,-,-,-,-,202501,-,M,확정,현재값,1,-,-,N,순위,순위,-,특정시점,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C021,A0004-C021-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,국제로봇연맹 다카유키 이토 회장은 “강력한 자동차 산업과 세계적으로 유명한 전자제품 부문을 보유한 한국은 산업용 로봇을 가장 많이 사용하는 국가”라고 한 것도 이 때문이다.,국내공식통계,Y,Y,-,기타,로봇 밀도,"로봇 밀도, 제조 자동화",-,-,-,-,-,-,-,202501,-,M,확정,증감률,5,-,-,N,%,증감률,증가,전년동기,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C044,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.,"“이제 직원들은 단순 작업에 투입되는 대신, 작업 효율화를 진행하고 제품 아이디어를 내는 일을 더 많이 한다”고 했다.",개별기업,N,N,개별기업,생산·산업,생산량 증가율 및 원가 절감률,"로봇 자동화, 생산량, 원가 절감",-,-,-,물티슈 산업,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,"""로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다""라고 했다.",high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C048,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,국내공식통계,N,N,정보부족,기타,로봇화에 뛰어든 기업 수,"한국로봇산업진흥원, 2023년, 2019년, 13%가량 증가",-,-,-,-,-,-,-,2023,-,-,확정,-,-,-,-,-,-,-,-,-,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0004-C049,-,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,-,해외통계·정책,N,N,해외통계,기타,로봇화에 뛰어든 기업의 수,"한국로봇산업진흥원, 2023년, 2019년, 증가율",-,-,-,-,-,-,-,2023,-,-,모호,-,-,-,-,-,-,-,-,-,"진흥원 관계자는 ""아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다""고 했다.",mid,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0005-C004,-,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,산업통상자원부와 코트라(KOTRA)는 이달 7~10일 개최되는 CES 2025에 36개 기관과 협업해 445개사 규모의 역대 최대 통합한국관을 구성한다.,"통합한국관 주요 전시분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",개별기업,N,N,개별기업,무역,통합한국관 참여 기업 수,"CES 2025, 통합한국관, 참여 기업 수",-,-,-,-,-,-,-,202501,-,M,확정,-,-,-,-,-,-,-,-,-,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0005-C006,-,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.","통합한국관 주요 전시분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",전체 한국 기업 참가 숫자도 지난해보다 100개가량 늘어난 최대다.,개별기업,N,N,개별기업,무역,참가 예정 기업 수,"통합한국관, 글로벌 대기업, 중소기업, 중견기업",-,-,-,-,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",mid,Y,약 900개사의 정확한 수치 확인 필요,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0005-C007,-,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,전체 한국 기업 참가 숫자도 지난해보다 100개가량 늘어난 최대다.,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.","CES 2025는 ‘Dive In(빠져들다)’을 주제로, 기술과 인간의 상호작용을 통해 혁신의 가능성을 제시한다.",개별기업,N,N,개별기업,무역,참가 기업 수,"삼성, LG, 현대, SK, 통합한국관, 중소·중견기업, CES",-,-,-,-,-,-,-,2025,-,-,확정,-,-,-,-,-,-,-,-,-,전체 한국 기업 참가 숫자도 지난해보다 100개가량 늘어난 최대다.,mid,Y,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0006-C001,-,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,N,N,정보부족,무역,수출액,"한국, 수출, 달러",-,-,-,-,-,-,-,2024,-,Y,확정,-,-,-,-,-,-,-,-,-,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0006-C002,-,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",국내공식통계,N,N,정보부족,무역,수출 실적,"한국, 수출, 역대 최대실적, 산업통상자원부",-,-,-,-,-,-,-,2024,-,-,확정,-,-,-,-,-,-,-,-,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
A0006-C003,-,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,해외통계·정책,N,N,해외통계,무역,세계 수출순위 및 수출증가율,"WTO, 수출순위, 수출증가율",-,-,-,-,-,-,-,2024Q1-Q3,-,Q,확정,-,-,-,-,-,-,-,-,-,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,HCX-007,v1.2-hcx-so-strval,2026-07-16
