gold_no,gold_domain,selection_reason,selection_bucket,source_status,claim_id,article_id,title,date,url,claim_text,metric,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,refined_claim_type,refined_claim_number,actual_period,actual_prev_period,refined_actual_number,refined_verdict,api_error,reviewer_note,manual_kosis_evidence,remap_kosis_evidence
11,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C15156,1993,“관세 10% 높아지면 美물가 0.3%p 오를 것… 그 영향은 일시적”,2025-06-03,https://www.chosun.com/economy/economy_general/2025/06/03/5PQFJXPLEFAZ5AU5OA7OH4XR4A,그는 또 “낮은 관세가 적용될 경우 인플레이션은 3%까지 상승했다가 점차 낮아질 것”이라며 “연내 금리 인하와 같은 부양 조치가 있을 수 있다”고 했다.,물가지표,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.0,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
12,물가,기존 수동확정 근거 앵커,확정근거,검증완료_재매핑확정일치,C15304,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,국제 유가 하락 영향으로 휘발유(-3.9%)·경유(-2.6%)·부탄가스(-0.5%)·등유(-3.8%) 등 석유류 물가가 2.3% 떨어진 결과다.,비율·증감률,101,DT_1J22112,T10,B05,T,M,CHANGE_RATE,-2.3,202505,202405,-2.325031525851189,일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"석유류 지수 202405 126.88 -> 202505 123.93, 전년동월비 -2.325%로 주장 -2.3%와 일치","석유류 지수 202405 126.88 -> 202505 123.93, 전년동월비 -2.325%로 주장 -2.3%와 일치"
13,물가,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C15308,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,농·축·수산물 물가도 0.1% 오르는 데 그쳤다.,비율·증감률,101,DT_1J22003,T10,,T,Y,LEVEL,0.1,2025,2024,116.61,불일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
14,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C15315,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,외식 물가도 전달에 이어 3.2% 올랐다.,비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.2,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
15,물가,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C16718,2203,한은 “체감 물가가 소비자물가보다 더 뛰어… 소비 위축시켜”,2025-06-19,https://www.chosun.com/economy/economy_general/2025/06/19/FI33P26UAFDJVPWRSHBEIUK3AQ,"18일 한국은행이 발표한 ‘최근 가공식품 등 생활 물가 흐름과 수준에 대한 평가’ 보고서에 따르면, 코로나 유행기였던 2020년부터 올해 5월까지 소비자물가가 15.9% 오르는 동안 생활 물가는 19.1% 상승했다.",물가지표,101,DT_1J22042,1,,T03,M,CHANGE_RATE,19.1,202505,202504,-4.1666666666666705,불일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
16,물가,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C18109,2375,가공식품 물가 4.6%↑ 새 정부 출범에도 고공행진,2025-07-02,https://www.chosun.com/economy/economy_general/2025/07/02/XGWZFYDANBHY5F4B2ZSPFDBPCQ,"소비 빈도가 높은 식료품과 외식, 생활용품 물가를 집계한 생활물가지수 상승률은 지난달 2.5%로 전달(2.3%)보다 오름폭이 0.2%포인트 커졌다.",물가지표,101,DT_1J22042,1,,T03,M,POINT_CHANGE,0.2,202506,202505,0.20000000000000018,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"202505 2.3% -> 202506 2.5%, 상승폭 0.2%p로 주장과 일치",
17,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C19718,2603,9월 소비자물가 상승률 2.1%… 두 달 만에 다시 2%대 (종합),2025-10-02,https://biz.chosun.com/policy/policy_sub/2025/10/02/YB7FNXZNQZFM3NPRM33AMSWXYE/,가공식품 물가는 4.2% 뛰며 전체 물가를 0.36%p 끌어올렸다.,비율·증감률,101,DT_1J22042,0,,T03,Y,POINT_CHANGE,0.36,202606,202605,0.10000000000000009,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
18,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20252,2679,"다 비싸졌다… 월세 상승률 10년래 최고, 물가도 껑충",2025-11-04,https://www.chosun.com/economy/economy_general/2025/11/04/LTSPY3AKDFGO3PYENJYCXAAWAU/,"특히 축산물(5.4%), 수산물(6.4%), 가공식품(4.2%), 외식(3.4%) 등 먹거리 가격이 소비자물가보다 상승률이 더 높았다.",물가지표,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.4,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
19,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20277,2681,"10월 소비자물가, 2.4% 올랐다… 15개월 만에 최대 상승폭(종합)",2025-11-04,https://biz.chosun.com/policy/policy_sub/2025/11/04/ANKBQTEEQ5CPPE7DIX7SMKCLWE/,"소비자물가 상승률 중 농축수산물의 기여도는 0.25%p로 다른 항목에 비해 낮았으나, 개별 품목은 크게 올랐다.",물가지표,101,DT_1J22042,0,,T03,Y,POINT_CHANGE,0.25,202606,202605,0.10000000000000009,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
20,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20278,2681,"10월 소비자물가, 2.4% 올랐다… 15개월 만에 최대 상승폭(종합)",2025-11-04,https://biz.chosun.com/policy/policy_sub/2025/11/04/ANKBQTEEQ5CPPE7DIX7SMKCLWE/,이 탓에 농축수산물 가격의 상승률은 3.1%를 기록했다.,비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.1,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
21,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C00962,134,美고용 25만6000개 증가… 예상치 크게 웃돌아,2025-01-11,https://www.chosun.com/economy/economy_general/2025/01/11/HGADIHJ5VZEDHA6GB7LDMFJZBA,실업률은 전월(4.2%)보다 소폭(0.1% 포인트) 떨어진 4.1%를 기록했다.,고용지표,101,DT_1DA7001S,0,,T80,M,POINT_CHANGE,4.1,202412,202411,1.5999999999999996,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
22,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C01478,202,고용 한파… 청년이라 더 추운 겨울,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y,"지난달 실업률은 3.8%로 2022년 1월(4.1%) 이후 가장 높았고, 청년 실업률은 5.9%로 6%에 육박했다.",고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,6.0,202401,202312,3.7,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
23,고용,층화표본:판단불가,판단불가,판단불가_API조회실패,C01848,253,崔 대행 “핵심 일자리 사업 예산 상반기 중 70% 이상 집행할 것”,2025-01-20,https://www.chosun.com/economy/economy_general/2025/01/20/EGM2O7ATF5DJPLD6HCFX5KCC7M,0 최상목 권한대행 부총리 겸 기획재정부 장관이 “고용장려금·직업훈련 등 일자리를 찾는 국민들께 직접적인 도움이 될 수 있는 핵심 일자리 사업 예산을 상반기 중 70% 이상 집행하도록 집중 관리하겠다”고 말했다.,고용지표,101,DT_1DA7001S,0,,T30,H,LEVEL,70.0,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
24,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C02892,368,내수 부진에 계엄·탄핵 ‘겹악재’...청년 고용률 43개월 만에 최저,2025-01-29,https://www.chosun.com/economy/economy_general/2025/01/29/K4EFBRTSPNCKPIDHOQOSPUXDTM,청년 고용률이 45% 아래로 떨어진 건 코로나가 한창 기승하던 2021년 5월(44.4%) 이후 43개월 만이다.,고용지표,101,DT_1DA7002S,75,,T90,M,LEVEL,44.4,202105,202104,44.4,일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202105 청년 고용률 44.4%로 주장 44.4%와 일치,
25,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C04584,579,1월 취업자 13.5만명 늘어...노인 일자리 신속 집행에 일시 호조,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/CMQ2GGIF6NFVFOK7NS472SUCSM,"청년층 고용률은 지난해 5월(-0.7%포인트) 이후 9개월째 감소하고 있는데, 코로나가 시작된 2020년 3월~2021년 2월 이후 최장 기간 감소세가 유지되는 상황이다.",고용지표,101,DT_1DA7002S,75,,T90,M,POINT_CHANGE,-0.7,202402,202401,-0.29999999999999716,불일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
26,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C05072,645,美 금리 안 내린대도… 각국 “경기 방어 우선” 속속 인하,2025-02-19,https://www.chosun.com/economy/economy_general/2025/02/19/EG54RI24PVA6PPINNPFJCXTYMM,"뉴질랜드는 지난해 2~3분기 연속 성장률이 마이너스(-)를 기록했고, 4분기 실업률은 5%를 넘는 등 성장이 둔화하고 실업률이 오르고 있기 때문이다.",고용지표,101,DT_1DA7001S,0,,T80,Q,CHANGE_RATE,5.0,202403,202402,-24.13793103448275,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
27,고용,층화표본:판단불가,판단불가,판단불가_API조회실패,C05876,747,대기업 10곳 중 6곳 “올 상반기 신규 채용 안하거나 미정”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/BFFXVPEDCRFRBHRFPYJDCVV23M,조사 결과 응답 기업의 61.1%가 상반기 신규 채용 계획을 수립하지 못했거나 채용하지 않을 것이라고 밝혔다.,고용지표,101,DT_1DA7001S,0,,T30,H,LEVEL,61.1,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
28,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C05892,747,대기업 10곳 중 6곳 “올 상반기 신규 채용 안하거나 미정”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/BFFXVPEDCRFRBHRFPYJDCVV23M,"신규 채용을 늘리겠다고 응답한 기업들은 경기 상황과 관계없이 미래 인재 확보 차원(83.3%), 회사가 속한 업종의 경기 상황 호전(16.7%) 등을 주된 이유로 꼽았다.",고용지표,101,DT_1DA7001S,0,,T30,Y,LEVEL,16.7,2025,2024,28768.9,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
29,고용,층화표본:판단불가,판단불가,판단불가_증감계산값없음,C07324,922,‘쉬었음’ 청년 50만명 넘어서... 청년 고용률 49개월 만에 최대 낙폭,2025-03-12,https://www.chosun.com/economy/economy_general/2025/03/12/RYNZ7HLF3JCOJKSPPE4VJMSTEE,기획재정부 관계자는 “예전에는 대학을 졸업하거나 구직을 희망하기 시작한 시기부터 대략 8~9개월 정도면 평균적으로 취업에 성공했지만 요즘은 1년 가까이 구직 기간이 늘었다”고 했다.,고용지표,101,DT_1DA7002S,75,,T90,Y,CHANGE_RATE,,2025,2024,-2.386117136659439,판단불가,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
30,고용,층화표본:판단불가,판단불가,판단불가_전망문장,C09229,1193,“작년 역대 최고 고용 달성? 외국인·노인 고용 늘어난 통계적인 착시에 불과”,2025-04-02,https://www.chosun.com/economy/economy_general/2025/04/02/NE2LONUUMBEZVI5DDJRPBMDR7U,"1일 예산정책처는 ‘경제 전망’ 보고서에서 작년 연간 취업자가 전년 대비 15만9000명 늘어나면서 15세 이상 고용률이 62.7%로 역대 최대를 기록했지만, 늘어난 일자리의 대부분을 외국인과 노인이 차지했다는 분석 결과를 밝혔다.",고용지표,101,DT_1DA7001S,0,,T90,Y,ABS_TO_ABS,62.7,2024,2023,62.7,일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
31,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C09952,1285,3월 청년 실업률 7.5%... 코로나 이후 최고,2025-04-09,https://www.chosun.com/economy/economy_general/2025/04/09/S5F7BYR5GJDQZFTEJM6L2KWREQ,지난달 청년층 실업률은 전체 연령대 실업률(3.1%)의 2.4배에 달한다.,고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,3.1,202503,202502,3.1,일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202503 전체 실업률 3.1%로 주장 3.1%와 일치,
32,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C09996,1292,3월 청년 실업률 7.5%… 4년 만에 최대치 기록,2025-04-10,https://www.chosun.com/economy/economy_general/2025/04/10/6WLSW5D3JFC3XHV6BX4GAXERTU,9일 통계청은 ‘3월 고용 동향’에서 지난달 15~29세 청년 실업자는 28만9000명으로 전년 동월 대비 2만6000명 늘었다고 밝혔다.,인원수,101,DT_1DA7001S,0,,T80,M,ABS_TO_ABS,6000.0,202403,202303,3.0,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
33,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C14392,1897,"자체 한국어 시험, 식당엔 스리라차… K조선소 ‘다문화 용광로’ 변신",2025-05-26,https://www.chosun.com/economy/industry-company/2025/05/26/HRLHD3WEMRDOVDOYQMCGEETZJU,"특히 최근 새로 채용되는 인력의 80%가 외국인이라, 비율은 더 가파르게 늘 전망이다.",고용지표,101,DT_1DA7001S,0,,T30,Y,LEVEL,80.0,2025,2024,28768.9,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
34,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C14427,1903,노인 고용률 OECD 1위지만...65세 근로자 3명 중 1명은 ‘단순 노무직’,2025-05-27,https://www.chosun.com/economy/economy_general/2025/05/27/NE3J4GIGIREKTLPROKLTL2NF3M,이 비율은 70세 재취업자의 경우 59.6%까지 증가했다.,고용지표,101,DT_1DA7001S,0,,T90,Y,CHANGE_RATE,59.6,2025,2024,0.3189792663476806,불일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
35,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15966,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"11일 통계청의 ‘2025년 5월 고용동향’에 따르면, 지난달 취업자는 2916만명으로 전년 동월 대비 24만5000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,2916.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
36,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C15980,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,실업률은 2.8%로 집계됐다.,고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,2.8,202505,,2.8,일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202505 전체 실업률 2.8%로 주장 2.8%와 일치,
37,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15981,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"일도, 구직 활동도 하지 않은 채 그냥 시간을 보냈다는 ‘쉬었음’ 인구는 지난달 239만명으로 전년 동월 대비 5만6000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,239.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
38,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C19439,2558,제조업 취업자 1년째 내리막에...‘쉬었음’ 20대 5년 만 최대,2025-07-16,https://www.chosun.com/economy/economy_general/2025/07/16/JJGWFZ2EF5BPZPOLN4O4NQHNLU,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,고용지표,101,DT_1DA7002S,20,,T90,M,LEVEL,70.3,202605,202604,59.4,불일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
39,고용,층화표본:판단불가,판단불가,판단불가_파라미터미확정,C19540,2569,"“그냥 쉬었다”는 20대, 5년 새 가장 많아",2025-07-17,https://www.chosun.com/economy/economy_general/2025/07/17/NDNGACBI4RAZJBDEMRKGKVA5KY,특히 20대 쉬었음 인구는 39만6000명으로 전년 동월 대비 2000명 늘었다.,인구지표,101,DT_1DA7300AS,,,T00,M,CHANGE_RATE,2000.0,,,,판단불가,obj_l1/itm_id 미확정으로 API 조회 보류,청년층 고용보조지표 후보 선택. 쉬었음 항목 포함 여부 확인 필요 | 고용보조지표 세부항목 코드 직접 확인 필요,,
40,고용,기존 수동확정 근거 앵커,확정근거,검증완료_재매핑확정일치,C19960,2638,한국서 희망 못 찾는 20대… 취업자 2년 11개월째 감소,2025-10-18,https://www.chosun.com/economy/economy_general/2025/10/18/GSSQHOVG2FAW7LHONSQ4KIKFEY/,20대 고용률은 지난해 9월(-0.2%포인트) 이후 13개월 연속 오르지 못하고 있다.,고용지표,101,DT_1DA7002S,20,,T90,M,POINT_CHANGE,-0.2,202509,202409,-0.2,일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,"20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치","20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치"
41,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C00078,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,LEVEL,6838.0,2024,2023,6836.09488,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
