claim_id,gold_domain,claim_text,source_status,gold_verifiable,gold_exclusion_reason,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_prd_se,gold_target_period,gold_prev_period,gold_verdict,gold_evidence
C20278,물가,이 탓에 농축수산물 가격의 상승률은 3.1%를 기록했다.,재검토필요_정확시점불일치,Y,,DT_1J22112,T10,A,T,M,202510,202410,일치,DT_1J22112 202510=129.18; 202410=125.27; 두 시점 증감률; 결과=3.1212580825417184
C00078,무역,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,재검토필요_정확시점불일치,Y,,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,2024,,일치,DT_1R11001_FRM101 2024=6836.094880000001; =None; KOSIS 수준값; 결과=6836.094880000001
C01924,무역,"그 결과 작년 한 해 전체 수출액은 6838억달러로 1년 전 대비 8.2% 증가했고, 기존 역대 최대 규모였던 2022년 기록(6836억달러)을 깨고 역대 최대 수출 실적을 달성했다.",재검토필요_정확시점불일치,Y,,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,2024,2023,일치,DT_1R11001_FRM101 2024=683609488.0; 2023=632225824.0; 두 시점 증감률; 결과=8.127422520469521
C03779,무역,작년 12월 수출은 전년보다 6.6% 늘어난 633억달러를 기록했다.,재검토필요_정확시점불일치,Y,,DT_301Y013,13102134519ACC_CD.110000,,13103134519999,M,202412,,일치,DT_301Y013 202412=633.736; =None; KOSIS 수준값; 결과=633.736
C03850,무역,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",재검토필요_정확시점불일치,Y,,DT_301Y013,13102134519ACC_CD.110000,,13103134519999,M,202412,,일치,DT_301Y013 202412=633.736; =None; KOSIS 수준값; 결과=633.736
C08645,무역,"한국무역협회에 따르면, 지난해 대미 자동차 수출액은 347억달러(약 51조원)를 웃돌며 미국으로 향한 전체 수출(1278억달러)의 27.1%를 차지했다.",재검토필요_정확시점불일치,N,지역·분류 불일치,,,,,,,,판단불가,지역·분류 불일치: 자동차 품목과 미국 국가를 동시에 교차해야 함
C10172,무역,"◇화장품, K중기 글로벌 진출의 ‘간판’ 작년 우리 중소기업의 화장품 수출액은 약 68억달러(약 9조9200억원)로, 국내 화장품 전체 수출(102억달러) 중 67%를 차지한다.",재검토필요_정확시점불일치,N,지역·분류 불일치,,,,,,,,판단불가,지역·분류 불일치: 중소기업 여부와 화장품 품목을 동시에 구분할 수 없음
C02005,인구,출생아 수는 2015년 0.7% 증가했다가 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했었다.,재검토필요_정확시점불일치,Y,,INH_1B8000F_01,11,,T1,Y,2023,2022,일치,INH_1B8000F_01 2023=230028.0; 2022=249186.0; 두 시점 증감률; 결과=-7.68823288627772
C02110,인구,연간 출생아 수는 2015년 0.7% 증가한 것을 마지막으로 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했다.,재검토필요_정확시점불일치,Y,,INH_1B8000F_01,11,,T1,Y,2023,2022,일치,INH_1B8000F_01 2023=230028.0; 2022=249186.0; 두 시점 증감률; 결과=-7.68823288627772
C14609,인구,0 올해 1분기 합계출산율(여성 한 명이 평생 낳을 것으로 기대되는 아이 수)이 2년 만에 0.8명대로 올라섰다.,재검토필요_정확시점불일치,N,KOSIS 미제공,,,,,,,,판단불가,KOSIS 미제공: 해당 KOSIS 표는 분기 합계출산율을 제공하지 않음
C03495,소매,소매 판매 감소는 지난 2022년(-0.3%)과 2023년(-1.5%)에 이어 3년 연속이다.,재검토필요_정확시점불일치,Y,,DT_1K41012,G0,,T2,Y,2023,2022,일치,DT_1K41012 2023=104.1; 2022=105.5; 두 시점 증감률; 결과=-1.327014218009484
C05090,소매,"2022년(-0.3%), 2023년(-1.5%)에 이어 3년 연속 감소해 1995년 관련 통계 집계 시작 이후 최장 기간 감소세를 기록했다.",재검토필요_정확시점불일치,Y,,DT_1K41012,G0,,T2,Y,2023,2022,일치,DT_1K41012 2023=104.1; 2022=105.5; 두 시점 증감률; 결과=-1.327014218009484
