gold_no,gold_domain,selection_reason,selection_bucket,source_status,claim_id,article_id,title,date,url,claim_text,metric,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,refined_claim_type,refined_claim_number,actual_period,actual_prev_period,refined_actual_number,refined_verdict,api_error,reviewer_note,manual_kosis_evidence,remap_kosis_evidence,gold_review_status,gold_reviewed_at,baseline_verifiable_pred,gold_verifiable,gold_exclusion_reason,gold_org_id,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_prd_se,gold_target_number,gold_target_period,gold_prev_period,gold_calculation_mode,gold_mapping_note,codebook_api_success,codebook_actual_number,codebook_current_value,codebook_previous_value,codebook_unit,gold_verdict,gold_diff,gold_evidence,codebook_api_error,baseline_eligibility_correct,baseline_table_correct,baseline_item_correct,baseline_period_correct,baseline_item_period_correct,baseline_api_success,baseline_verdict_correct
11,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C15156,1993,“관세 10% 높아지면 美물가 0.3%p 오를 것… 그 영향은 일시적”,2025-06-03,https://www.chosun.com/economy/economy_general/2025/06/03/5PQFJXPLEFAZ5AU5OA7OH4XR4A,그는 또 “낮은 관세가 적용될 경우 인플레이션은 3%까지 상승했다가 점차 낮아질 것”이라며 “연내 금리 인하와 같은 부양 조치가 있을 수 있다”고 했다.,물가지표,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.0,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,정보 부족,,,,,,,,,,,관세 시나리오에 따른 전망 문장,N/A,,,,,판단불가,,정보 부족: 관세 시나리오에 따른 전망 문장,,N,N/A,N/A,N/A,N/A,N/A,N
12,물가,기존 수동확정 근거 앵커,확정근거,검증완료_재매핑확정일치,C15304,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,국제 유가 하락 영향으로 휘발유(-3.9%)·경유(-2.6%)·부탄가스(-0.5%)·등유(-3.8%) 등 석유류 물가가 2.3% 떨어진 결과다.,비율·증감률,101,DT_1J22112,T10,B05,T,M,CHANGE_RATE,-2.3,202505,202405,-2.325031525851189,일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"석유류 지수 202405 126.88 -> 202505 123.93, 전년동월비 -2.325%로 주장 -2.3%와 일치","석유류 지수 202405 126.88 -> 202505 123.93, 전년동월비 -2.325%로 주장 -2.3%와 일치",수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,B05,T,M,-2.3,202505,202405,CHANGE_RATE,석유류 전년동월비,Y,-2.325031525851189,123.93,126.88,2020＝100,일치,0.025031525851189063,DT_1J22112 202505=123.93; 202405=126.88; 두 시점 증감률; 결과=-2.325031525851189,,Y,Y,Y,Y,Y,Y,Y
13,물가,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C15308,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,농·축·수산물 물가도 0.1% 오르는 데 그쳤다.,비율·증감률,101,DT_1J22003,T10,,T,Y,LEVEL,0.1,2025,2024,116.61,불일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,A,T,M,0.1,202505,202405,CHANGE_RATE,농축수산물 전년동월비,Y,0.1476620180475739,122.08,121.9,2020＝100,일치,0.04766201804757389,DT_1J22112 202505=122.08; 202405=121.9; 두 시점 증감률; 결과=0.1476620180475739,,Y,N,N,N,N,Y,N
14,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C15315,2010,돼지고기·계란 고공행진에 축산물 물가 3년래 최고,2025-06-04,https://www.chosun.com/economy/economy_general/2025/06/04/ZXZNKUNMVBB23IAKVMXPXYQYHQ,외식 물가도 전달에 이어 3.2% 올랐다.,비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.2,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,F01,T,M,3.2,202505,202405,CHANGE_RATE,외식 전년동월비,Y,3.2151143520052994,124.56,120.68,2020＝100,일치,0.015114352005299203,DT_1J22112 202505=124.56; 202405=120.68; 두 시점 증감률; 결과=3.2151143520052994,,Y,N,N,N,N,Y,Y
15,물가,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C16718,2203,한은 “체감 물가가 소비자물가보다 더 뛰어… 소비 위축시켜”,2025-06-19,https://www.chosun.com/economy/economy_general/2025/06/19/FI33P26UAFDJVPWRSHBEIUK3AQ,"18일 한국은행이 발표한 ‘최근 가공식품 등 생활 물가 흐름과 수준에 대한 평가’ 보고서에 따르면, 코로나 유행기였던 2020년부터 올해 5월까지 소비자물가가 15.9% 오르는 동안 생활 물가는 19.1% 상승했다.",물가지표,101,DT_1J22042,1,,T03,M,CHANGE_RATE,19.1,202505,202504,-4.1666666666666705,불일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22005,T10,110,T,M,19.1,202505,2020=100,CHANGE_FROM_BASE,생활물가지수 2020=100 기준 누적 변화,Y,19.200000000000003,119.2,100.0,2020＝100,일치,0.10000000000000142,DT_1J22005 202505=119.2; 2020=100=100.0; 고정 기준값 대비 증감률; 결과=19.200000000000003,,Y,N,N,Y,N,Y,N
16,물가,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C18109,2375,가공식품 물가 4.6%↑ 새 정부 출범에도 고공행진,2025-07-02,https://www.chosun.com/economy/economy_general/2025/07/02/XGWZFYDANBHY5F4B2ZSPFDBPCQ,"소비 빈도가 높은 식료품과 외식, 생활용품 물가를 집계한 생활물가지수 상승률은 지난달 2.5%로 전달(2.3%)보다 오름폭이 0.2%포인트 커졌다.",물가지표,101,DT_1J22042,1,,T03,M,POINT_CHANGE,0.2,202506,202505,0.20000000000000018,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"202505 2.3% -> 202506 2.5%, 상승폭 0.2%p로 주장과 일치",,수동확정,2026-07-14,Y,Y,,101,DT_1J22042,1,,T03,M,0.2,202506,202505,POINT_CHANGE,생활물가 전년동월비 발표값의 전월 차이,Y,0.20000000000000018,2.5,2.3,,일치,1.6653345369377348e-16,DT_1J22042 202506=2.5; 202505=2.3; 두 시점 차이; 결과=0.20000000000000018,,Y,Y,Y,Y,Y,Y,Y
17,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C19718,2603,9월 소비자물가 상승률 2.1%… 두 달 만에 다시 2%대 (종합),2025-10-02,https://biz.chosun.com/policy/policy_sub/2025/10/02/YB7FNXZNQZFM3NPRM33AMSWXYE/,가공식품 물가는 4.2% 뛰며 전체 물가를 0.36%p 끌어올렸다.,비율·증감률,101,DT_1J22042,0,,T03,Y,POINT_CHANGE,0.36,202606,202605,0.10000000000000009,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,기여도 미제공,,,,,,,,,,,가공식품의 전체 물가 기여도 0.36%p,N/A,,,,,판단불가,,기여도 미제공: 가공식품의 전체 물가 기여도 0.36%p,,N,N/A,N/A,N/A,N/A,N/A,N
18,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20252,2679,"다 비싸졌다… 월세 상승률 10년래 최고, 물가도 껑충",2025-11-04,https://www.chosun.com/economy/economy_general/2025/11/04/LTSPY3AKDFGO3PYENJYCXAAWAU/,"특히 축산물(5.4%), 수산물(6.4%), 가공식품(4.2%), 외식(3.4%) 등 먹거리 가격이 소비자물가보다 상승률이 더 높았다.",물가지표,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.4,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,F01,T,M,3.4,202510,202410,CHANGE_RATE,외식 전년동월비,Y,2.978828163466269,125.49,121.86,2020＝100,불일치,0.4211718365337309,DT_1J22112 202510=125.49; 202410=121.86; 두 시점 증감률; 결과=2.978828163466269,,Y,N,N,N,N,Y,N
19,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20277,2681,"10월 소비자물가, 2.4% 올랐다… 15개월 만에 최대 상승폭(종합)",2025-11-04,https://biz.chosun.com/policy/policy_sub/2025/11/04/ANKBQTEEQ5CPPE7DIX7SMKCLWE/,"소비자물가 상승률 중 농축수산물의 기여도는 0.25%p로 다른 항목에 비해 낮았으나, 개별 품목은 크게 올랐다.",물가지표,101,DT_1J22042,0,,T03,Y,POINT_CHANGE,0.25,202606,202605,0.10000000000000009,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,기여도 미제공,,,,,,,,,,,농축수산물의 전체 물가 기여도 0.25%p,N/A,,,,,판단불가,,기여도 미제공: 농축수산물의 전체 물가 기여도 0.25%p,,N,N/A,N/A,N/A,N/A,N/A,N
20,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C20278,2681,"10월 소비자물가, 2.4% 올랐다… 15개월 만에 최대 상승폭(종합)",2025-11-04,https://biz.chosun.com/policy/policy_sub/2025/11/04/ANKBQTEEQ5CPPE7DIX7SMKCLWE/,이 탓에 농축수산물 가격의 상승률은 3.1%를 기록했다.,비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.1,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,A,T,M,3.1,202510,202410,CHANGE_RATE,농축수산물 전년동월비,Y,3.1212580825417184,129.18,125.27,2020＝100,일치,0.02125808254171835,DT_1J22112 202510=129.18; 202410=125.27; 두 시점 증감률; 결과=3.1212580825417184,,Y,N,N,N,N,Y,Y
21,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C00962,134,美고용 25만6000개 증가… 예상치 크게 웃돌아,2025-01-11,https://www.chosun.com/economy/economy_general/2025/01/11/HGADIHJ5VZEDHA6GB7LDMFJZBA,실업률은 전월(4.2%)보다 소폭(0.1% 포인트) 떨어진 4.1%를 기록했다.,고용지표,101,DT_1DA7001S,0,,T80,M,POINT_CHANGE,4.1,202412,202411,1.5999999999999996,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,미국 실업률,N/A,,,,,판단불가,,KOSIS 미제공: 미국 실업률,,N,N/A,N/A,N/A,N/A,N/A,N
22,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C01478,202,고용 한파… 청년이라 더 추운 겨울,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y,"지난달 실업률은 3.8%로 2022년 1월(4.1%) 이후 가장 높았고, 청년 실업률은 5.9%로 6%에 육박했다.",고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,6.0,202401,202312,3.7,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,75,,T80,M,5.9,202412,,LEVEL,15~29세 실업률,Y,5.9,5.9,,%,일치,0.0,DT_1DA7002S 202412=5.9; =None; KOSIS 수준값; 결과=5.9,,Y,N,N,N,N,Y,N
23,고용,층화표본:판단불가,판단불가,판단불가_API조회실패,C01848,253,崔 대행 “핵심 일자리 사업 예산 상반기 중 70% 이상 집행할 것”,2025-01-20,https://www.chosun.com/economy/economy_general/2025/01/20/EGM2O7ATF5DJPLD6HCFX5KCC7M,0 최상목 권한대행 부총리 겸 기획재정부 장관이 “고용장려금·직업훈련 등 일자리를 찾는 국민들께 직접적인 도움이 될 수 있는 핵심 일자리 사업 예산을 상반기 중 70% 이상 집행하도록 집중 관리하겠다”고 말했다.,고용지표,101,DT_1DA7001S,0,,T30,H,LEVEL,70.0,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,N,KOSIS 미제공,,,,,,,,,,,일자리 사업 예산 집행 목표,N/A,,,,,판단불가,,KOSIS 미제공: 일자리 사업 예산 집행 목표,,Y,N/A,N/A,N/A,N/A,N/A,Y
24,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C02892,368,내수 부진에 계엄·탄핵 ‘겹악재’...청년 고용률 43개월 만에 최저,2025-01-29,https://www.chosun.com/economy/economy_general/2025/01/29/K4EFBRTSPNCKPIDHOQOSPUXDTM,청년 고용률이 45% 아래로 떨어진 건 코로나가 한창 기승하던 2021년 5월(44.4%) 이후 43개월 만이다.,고용지표,101,DT_1DA7002S,75,,T90,M,LEVEL,44.4,202105,202104,44.4,일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202105 청년 고용률 44.4%로 주장 44.4%와 일치,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,75,,T90,M,44.4,202105,,LEVEL,15~29세 고용률,Y,44.4,44.4,,%,일치,0.0,DT_1DA7002S 202105=44.4; =None; KOSIS 수준값; 결과=44.4,,Y,Y,Y,Y,Y,Y,Y
25,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C04584,579,1월 취업자 13.5만명 늘어...노인 일자리 신속 집행에 일시 호조,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/CMQ2GGIF6NFVFOK7NS472SUCSM,"청년층 고용률은 지난해 5월(-0.7%포인트) 이후 9개월째 감소하고 있는데, 코로나가 시작된 2020년 3월~2021년 2월 이후 최장 기간 감소세가 유지되는 상황이다.",고용지표,101,DT_1DA7002S,75,,T90,M,POINT_CHANGE,-0.7,202402,202401,-0.29999999999999716,불일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,75,,T90,M,-0.7,202405,202305,POINT_CHANGE,15~29세 고용률 전년동월 차이,Y,-0.7000000000000028,46.9,47.6,%,일치,2.886579864025407e-15,DT_1DA7002S 202405=46.9; 202305=47.6; 두 시점 차이; 결과=-0.7000000000000028,,Y,Y,Y,N,N,Y,N
26,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C05072,645,美 금리 안 내린대도… 각국 “경기 방어 우선” 속속 인하,2025-02-19,https://www.chosun.com/economy/economy_general/2025/02/19/EG54RI24PVA6PPINNPFJCXTYMM,"뉴질랜드는 지난해 2~3분기 연속 성장률이 마이너스(-)를 기록했고, 4분기 실업률은 5%를 넘는 등 성장이 둔화하고 실업률이 오르고 있기 때문이다.",고용지표,101,DT_1DA7001S,0,,T80,Q,CHANGE_RATE,5.0,202403,202402,-24.13793103448275,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,뉴질랜드 실업률,N/A,,,,,판단불가,,KOSIS 미제공: 뉴질랜드 실업률,,N,N/A,N/A,N/A,N/A,N/A,N
27,고용,층화표본:판단불가,판단불가,판단불가_API조회실패,C05876,747,대기업 10곳 중 6곳 “올 상반기 신규 채용 안하거나 미정”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/BFFXVPEDCRFRBHRFPYJDCVV23M,조사 결과 응답 기업의 61.1%가 상반기 신규 채용 계획을 수립하지 못했거나 채용하지 않을 것이라고 밝혔다.,고용지표,101,DT_1DA7001S,0,,T30,H,LEVEL,61.1,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,N,KOSIS 미제공,,,,,,,,,,,기업 채용계획 설문,N/A,,,,,판단불가,,KOSIS 미제공: 기업 채용계획 설문,,Y,N/A,N/A,N/A,N/A,N/A,Y
