claim_measurement_id,bucket,group,claim_text
A0006-SP9282109973-m2,CONFIRMED,확정,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월"
A0006-SP64EB447E6E-m1,UNIT_UNVERIFIABLE,시스템 한계,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호"
A0006-SP64EB447E6E-m2,PERIOD_MISSING,확인 불가,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호"
A0006-SP95A2256265-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다."
A0006-SP95A2256265-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다."
A0006-SP4B17AE5654-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다."
A0006-SP4B17AE5654-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다."
A0006-SPA4FBC97BC2-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SPA4FBC97BC2-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SPA4FBC97BC2-m3,CANDIDATE_NOT_DECISIVE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SPA4FBC97BC2-m4,CANDIDATE_NOT_DECISIVE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SPA4FBC97BC2-m5,UNIT_UNVERIFIABLE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SPA4FBC97BC2-m6,CANDIDATE_NOT_DECISIVE,시스템 한계,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 11"
A0006-SP9461F3F4FE-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.
A0006-SP9461F3F4FE-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.
A0006-SP270B11DBD0-m1,UNIT_UNVERIFIABLE,시스템 한계,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.
A0006-SP270B11DBD0-m2,CONFIRMED,확정,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.
A0012-SPE7F554D64E-m1,UNIT_UNVERIFIABLE,시스템 한계,31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.
A0012-SPE7F554D64E-m2,UNIT_UNVERIFIABLE,시스템 한계,31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.
A0012-SP80940BC114-m2,UNIT_UNVERIFIABLE,시스템 한계,본래 조선업의 산업기술인력은 2014년 6만9766명에서 2022년 5만8042명까지 꾸준히 하락해 1만명 넘게 줄어든 상태였는데 이 수가 500명 가까이 늘어난 것이다.
A0012-SP80940BC114-m3,UNIT_UNVERIFIABLE,시스템 한계,본래 조선업의 산업기술인력은 2014년 6만9766명에서 2022년 5만8042명까지 꾸준히 하락해 1만명 넘게 줄어든 상태였는데 이 수가 500명 가까이 늘어난 것이다.
A0012-SP80940BC114-m4,UNIT_UNVERIFIABLE,시스템 한계,본래 조선업의 산업기술인력은 2014년 6만9766명에서 2022년 5만8042명까지 꾸준히 하락해 1만명 넘게 줄어든 상태였는데 이 수가 500명 가까이 늘어난 것이다.
A0012-SP13E0E2E6EE-m2,COORDINATE_RETURNS_NOTHING,시스템 한계,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
A0012-SPFEFB3037E3-m1,UNIT_UNVERIFIABLE,시스템 한계,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.
A0012-SPFEFB3037E3-m2,UNIT_UNVERIFIABLE,시스템 한계,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.
A0018-SP32C9008706-m1,CONFIRMED,확정,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.
A0018-SP32C9008706-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.
A0018-SP32C9008706-m3,CONFIRMED,확정,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.
A0018-SPBAED6BB4CA-m2,CONFIRMED,확정,기존 역대 최대 규모였던 2022년 기록(6836억달러)을 2억달러 웃돌아 역대 최대 수출 실적을 달성했다.
A0018-SP2F67F9842A-m1,CONFIRMED,확정,주력 수출 품목인 반도체 수출액이 1419억달러로 역대 최대치를 고쳐 쓰면서 수출 증가세를 주도했다.
A0018-SP33EC69A061-m1,CONFIRMED,확정,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다."
A0018-SP33EC69A061-m2,CONFIRMED,확정,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다."
A0018-SP6B44F499DC-m1,COORDINATE_RETURNS_NOTHING,시스템 한계,작년 흑자 폭은 2018년(697억달러 흑자) 이후 6년 만에 최대다.
A0018-SP6C1F318589-m1,CONFIRMED,확정,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.
A0018-SP6C1F318589-m2,CONFIRMED,확정,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.
A0018-SP6C1F318589-m4,CONFIRMED,확정,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.
A0018-SP8114050F3A-m1,UNIT_UNVERIFIABLE,시스템 한계,수출 증가율은 작년 8월(10.9%)부터 11월까지 꺾이다가 지난달 들어 반도체 수출이 31.5% 불어나며 오름세로 돌아섰다.
A0018-SP8114050F3A-m2,UNIT_UNVERIFIABLE,시스템 한계,수출 증가율은 작년 8월(10.9%)부터 11월까지 꺾이다가 지난달 들어 반도체 수출이 31.5% 불어나며 오름세로 돌아섰다.
A0020-SPE84B1B5437-m1,COORDINATE_RETURNS_NOTHING,시스템 한계,한국로봇산업진흥원에 따르면 로봇화에 뛰어든 우리 기업은 2524곳(2023년 기준)으로 2019년보다 13%가량 증가했다.
A0020-SP6A79D2AE3A-m1,NO_DATA_AT_COORDINATE,확인 불가,"실시한 조사에 따르면, 이곳 중소제조업체의 40.7%는 “자금 조달이 어렵다”고 대답했다."
A0020-SP0CC9D6D682-m2,COORDINATE_RETURNS_NOTHING,시스템 한계,"작년 중기중앙회와 통계청에 따르면, 로봇 및 인공지능(AI) 등 신기술 도입률은 대기업과 중소기업 간 두 배 이상 차이가 났다. 대기업이 신기술을 도입한 경우는 24.5%, 중소기"
A0023-SPC9A6E7ED48-m1,PERIOD_AFTER_ARTICLE,확인 불가,이창용 한국은행 총재도 같은 달 17일 국회 기획재정위원회 현안질의에서 “현재 통과된 예산안은 경제(성장률)에 마이너스(-) 0.06%포인트정도 영향이 있다”고 말했었다.
A0023-SPE3405D9C32-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,"지난달 30일 발표된 통계청의 ‘11월 산업활동동향’에 따르면, 생산은 작년 9월(-0.4%)·10월(-0.2%)·11월(-0.4%) 등 3개월 연속으로 전월 대비 감소했다."
A0023-SPE3405D9C32-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,"지난달 30일 발표된 통계청의 ‘11월 산업활동동향’에 따르면, 생산은 작년 9월(-0.4%)·10월(-0.2%)·11월(-0.4%) 등 3개월 연속으로 전월 대비 감소했다."
A0023-SP5A84C92CFD-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,다만 11월 소매판매는 전년 동월과 비교하면 1.9% 줄어 부진한 흐름을 이어갔다.
A0023-SP253B27241B-m1,CONFIRMED,확정,성장률과 물가 상승률이 모두 2%를 밑돈 경우는 2020년이 마지막이었다.
A0026-SP62C4E813C9-m1,PERIOD_MISSING,확인 불가,연간으로 따지면 무려 172.1원이 올랐다.
A0029-SPEA6B4D01A2-m1,COORDINATE_RETURNS_NOTHING,시스템 한계,"작년 국내 완성차 업체들의 판매량이 2023년 대비 0.6% 줄며, 3년만에 감소세로 돌아섰다."
A0029-SPC266C13A00-m1,UNIT_UNVERIFIABLE,시스템 한계,"국내 판매는 135만6706대로 전년 대비 6.4% 줄었고, 해외 판매는 658만4378대로 같은 기간 0.7% 늘었다."
A0029-SPC266C13A00-m2,COORDINATE_RETURNS_NOTHING,시스템 한계,"국내 판매는 135만6706대로 전년 대비 6.4% 줄었고, 해외 판매는 658만4378대로 같은 기간 0.7% 늘었다."
A0029-SPC266C13A00-m3,UNIT_UNVERIFIABLE,시스템 한계,"국내 판매는 135만6706대로 전년 대비 6.4% 줄었고, 해외 판매는 658만4378대로 같은 기간 0.7% 늘었다."
A0029-SPC266C13A00-m4,COORDINATE_RETURNS_NOTHING,시스템 한계,"국내 판매는 135만6706대로 전년 대비 6.4% 줄었고, 해외 판매는 658만4378대로 같은 기간 0.7% 늘었다."
A0029-SPBB0C2661F9-m1,UNIT_UNVERIFIABLE,시스템 한계,"해외 판매가 0.5% 줄었고, 국내 판매가 7.5% 급감했다."
A0029-SPBB0C2661F9-m2,PERIOD_MISSING,확인 불가,"해외 판매가 0.5% 줄었고, 국내 판매가 7.5% 급감했다."
A0029-SP31842CA273-m1,UNIT_UNVERIFIABLE,시스템 한계,"해외 판매가 1% 늘었지만, 국내 판매량은 4.2% 줄었다."
A0029-SP31842CA273-m2,CONFIRMED,확정,"해외 판매가 1% 늘었지만, 국내 판매량은 4.2% 줄었다."
A0031-SP041EDC0971-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,반도체 등 주력 수출 업종의 경쟁 심화와 이달 20일 출범하는 트럼프 정부의 관세 장벽 강화 등으로 수출 증가율은 작년 8.2%에서 올해 1.5%로 쪼그라들 것으로 봤다.
A0031-SP041EDC0971-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,반도체 등 주력 수출 업종의 경쟁 심화와 이달 20일 출범하는 트럼프 정부의 관세 장벽 강화 등으로 수출 증가율은 작년 8.2%에서 올해 1.5%로 쪼그라들 것으로 봤다.
A0041-SPE65565BE92-m1,NO_DATA_AT_COORDINATE,확인 불가,지난해 12월부터 달러 대비 원화 환율이 1400원 선을 넘는 고환율이 장기화하면서 해외에서 수입해 오는 식품 원재료 가격이 치솟은 탓이다.
A0041-SPF140502152-m1,PERIOD_AFTER_ARTICLE,확인 불가,"3일 한국소비자원이 전국 대형마트와 편의점 500여 곳을 조사해 발표하는 ‘생필품 가격 보고서’에 따르면, 지난달 20일 기준 초콜릿·카레·커피 등 주요 가공식품 175개 품목 가"
A0041-SPF140502152-m2,PERIOD_AFTER_ARTICLE,확인 불가,"3일 한국소비자원이 전국 대형마트와 편의점 500여 곳을 조사해 발표하는 ‘생필품 가격 보고서’에 따르면, 지난달 20일 기준 초콜릿·카레·커피 등 주요 가공식품 175개 품목 가"
A0041-SPF140502152-m3,PERIOD_AFTER_ARTICLE,확인 불가,"3일 한국소비자원이 전국 대형마트와 편의점 500여 곳을 조사해 발표하는 ‘생필품 가격 보고서’에 따르면, 지난달 20일 기준 초콜릿·카레·커피 등 주요 가공식품 175개 품목 가"
A0041-SP87530E5592-m1,PERIOD_AFTER_ARTICLE,확인 불가,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다."
A0041-SP87530E5592-m2,UNIT_UNVERIFIABLE,시스템 한계,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다."
A0041-SP87530E5592-m3,CONFIRMED,확정,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다."
A0041-SP33BA270147-m1,NO_DATA_AT_COORDINATE,확인 불가,"지난해 11월 1일 1378원이던 환율은 미 대선에서 도널드 트럼프 전 대통령의 재선이 확정된 6일 1399.3원으로 뛰었고, 비상계엄과 탄핵소추 등 정국 혼란이 이어진 12월에는"
A0041-SP33BA270147-m2,NO_DATA_AT_COORDINATE,확인 불가,"지난해 11월 1일 1378원이던 환율은 미 대선에서 도널드 트럼프 전 대통령의 재선이 확정된 6일 1399.3원으로 뛰었고, 비상계엄과 탄핵소추 등 정국 혼란이 이어진 12월에는"
A0041-SP33BA270147-m3,COORDINATE_RETURNS_NOTHING,시스템 한계,"지난해 11월 1일 1378원이던 환율은 미 대선에서 도널드 트럼프 전 대통령의 재선이 확정된 6일 1399.3원으로 뛰었고, 비상계엄과 탄핵소추 등 정국 혼란이 이어진 12월에는"
A0041-SPB90618BE6D-m2,PERIOD_AFTER_ARTICLE,확인 불가,"편의점 업계에 따르면 동아오츠카의 포카리스웨트와 데미소다 캔은 1600원에서 1700원으로 100원씩, 오리온의 다이제 초코는 2500원에서 2800원으로 12% 올랐다."
A0041-SPB90618BE6D-m5,PERIOD_AFTER_ARTICLE,확인 불가,"편의점 업계에 따르면 동아오츠카의 포카리스웨트와 데미소다 캔은 1600원에서 1700원으로 100원씩, 오리온의 다이제 초코는 2500원에서 2800원으로 12% 올랐다."
A0041-SPB90618BE6D-m6,PERIOD_MISSING,확인 불가,"편의점 업계에 따르면 동아오츠카의 포카리스웨트와 데미소다 캔은 1600원에서 1700원으로 100원씩, 오리온의 다이제 초코는 2500원에서 2800원으로 12% 올랐다."
A0041-SP8E6F7B5760-m2,PERIOD_AFTER_ARTICLE,확인 불가,"크리넥스 각티슈(150매)는 5650원에서 5950원으로, 참그린 세제는 3900원에서 4500원으로 600원(15.3%)이나 올랐다."
A0041-SP8E6F7B5760-m6,PERIOD_AFTER_ARTICLE,확인 불가,"크리넥스 각티슈(150매)는 5650원에서 5950원으로, 참그린 세제는 3900원에서 4500원으로 600원(15.3%)이나 올랐다."
A0041-SP4542276D1B-m2,PERIOD_AFTER_ARTICLE,확인 불가,에르메스는 반지 제품인 ‘에버 헤라클레스 웨딩 밴드’를 기존 477만원에서 527만원으로 50만원(10.5%) 인상했다.
A0041-SP4542276D1B-m4,PERIOD_AFTER_ARTICLE,확인 불가,에르메스는 반지 제품인 ‘에버 헤라클레스 웨딩 밴드’를 기존 477만원에서 527만원으로 50만원(10.5%) 인상했다.
A0046-SPD2EDAD8C3F-m1,PERIOD_MISSING,확인 불가,"반면에 코스피지수와 코스닥지수는 연초보다 각각 9.9%, 21.7% 하락한 채 장을 마쳤다."
A0046-SPD2EDAD8C3F-m2,CANDIDATE_NOT_DECISIVE,시스템 한계,"반면에 코스피지수와 코스닥지수는 연초보다 각각 9.9%, 21.7% 하락한 채 장을 마쳤다."
A0047-SP3DFD1749C6-m1,COORDINATE_RETURNS_NOTHING,시스템 한계,지난해 유가증권시장 상장 기업의 할인율은 15%대였다.
