review_priority,review_reason,review_batch,obj_candidate_count,itm_candidate_count,claim_id,article_id,title,date,url,claim_text,metric,metric_all,is_claim,population,prev_sentence,next_sentence,numbers,units,year,region,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note,obj_l1_candidates,itm_id_candidates
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04759,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,대출 금액 역시 전년보다 2조7080억원(52.2%) 늘어난 7조8920억원을 기록했다.,비율·증감률,비율·증감률; 금액,True,,60대 이상 개인사업자 중 채무불이행자 수는 2만795명에서 3만1689명으로 52.4%가 늘었다.,이수진 금융연구원 선임연구위원은 “고령층은 생계형으로 창업하는 경우가 많아 상대적으로 수익성이 낮다 보니 경기 침체 국면에서 가장 큰 타격을 받은 것으로 보인다”고 설명했다.,"[7080, 52.2, 8920]","['억원', '%', '억원']",[],[],"금융기관예금, 대출 및 어음(2001~2008)(tblId=TX_11001_A031); 현재 사업을 운영하면서 자금조달(금융기관 대출, 임대료 등의 문제 포함)과 관련하여 어려움을 겪는 정도(tblId=DT_154021_N053); 개인사업자의 대출 총괄(tblId=DT_1PB_1001); 개인사업자의 성별 대출(tblId=DT_1PB_1002); 개인사업자의 연령별 대출(tblId=DT_1PB_1003)",,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 연령별 개인사업자 대출금액 증가(C04758 연결), 동일 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04764,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,0 지난해 금융기관에 진 빚을 갚지 못한 자영업자가 35% 늘어난 것으로 집계됐다.,비율·증감률,비율·증감률,True,자영업자,,특히 60세 이상 고령층 증가율이 52%에 달했다.,[35],['%'],[],[],자영업자(고용주)의 어려움(tblId=DT_154021_22AA002900); 자영업자(고용주)의 월평균 순수익(tblId=DT_154021_22AA003000); 현 사업 사업자금 조달방법(tblId=DT_43701N_063); 현 사업 사업자금 규모(tblId=DT_43701N_065); 현 사업 준비기간(tblId=DT_43701N_066),,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 자영업자 대출 연체 증가(35%, C04750과 동일), 동일 연체율 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04765,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,특히 60세 이상 고령층 증가율이 52%에 달했다.,비율·증감률,비율·증감률,True,고령층,0 지난해 금융기관에 진 빚을 갚지 못한 자영업자가 35% 늘어난 것으로 집계됐다.,16일 신용평가기관 나이스평가정보가 국회 정무위원회 소속 더불어민주당 이인영 의원실에 제출한 ‘개인사업자 채무불이행자 현황’ 자료에 따르면 지난해 말 기준 개인사업자(자영업자·기업대출을 보유한 개인) 335만8956명의 금융기관 대출금액은 1122조7919억원으로 1년 새 7719억원이 늘었다.,[52],['%'],[],[],"연령별 경제활동상태(tblId=DT_1DE8031S); 연령/산업별 취업분포(11차)(tblId=DT_1DE8061_11); 연령/산업별 취업분포(10차,~2024)(tblId=DT_1DE8061); 연령/산업별 취업분포(9차,~2017)(tblId=DT_1DE8032S); 연령/직업별 취업분포(8차)(tblId=DT_1DE8063_8)",,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 60세 이상 고령층 연체 증가율(52%), 동일 연령별 연체율 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04767,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,이 중 3개월 이상 연체한 개인사업자는 15만5060명으로 1년 전보다 4만204명(35%) 급증했다.,비율·증감률,비율·증감률; 인원수; 건수·개수; 날짜·시간,True,,16일 신용평가기관 나이스평가정보가 국회 정무위원회 소속 더불어민주당 이인영 의원실에 제출한 ‘개인사업자 채무불이행자 현황’ 자료에 따르면 지난해 말 기준 개인사업자(자영업자·기업대출을 보유한 개인) 335만8956명의 금융기관 대출금액은 1122조7919억원으로 1년 새 7719억원이 늘었다.,"이들이 진 빚은 30조7248억원으로, 전년 말보다 29.9%(7조804억원) 늘어났다.","[3, 5060, 1, 204, 35]","['개', '명', '년', '명', '%']",[],[],"가구소득 변화(1년 전과 비교하여, 19세 이상 가구주)(tblId=DT_1SSIC021R); 가구부채 변화(1년 전과 비교하여, 19세 이상 가구주)(tblId=DT_1SSIC022R); 1년 전과 비교한 체감환경(대기, 13세 이상 인구)(tblId=DT_1SSEN021R); 1년 전과 비교한 체감환경(수질, 13세 이상 인구)(tblId=DT_1SSEN022R); 1년 전과 비교한 체감환경(토양, 13세 이상 인구)(tblId=DT_1SSEN023R)",,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 3개월 이상 연체 개인사업자 수(15만5060명), 동일 연체율 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04768,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,"이들이 진 빚은 30조7248억원으로, 전년 말보다 29.9%(7조804억원) 늘어났다.",비율·증감률,비율·증감률; 금액,True,,이 중 3개월 이상 연체한 개인사업자는 15만5060명으로 1년 전보다 4만204명(35%) 급증했다.,고령층 자영업자의 채무 불이행은 심각하다.,"[7248, 29.9, 804]","['억원', '%', '억원']",[],[],경영 성과 평가(전년 대비 체감)(tblId=DT_MLTM_7074); 전년 대비 임금 동향(tblId=DT_448001_A011); 전년 대비 고객사 수 증감 현황(tblId=DT_142018N_110); 소모성자재 납품업 경기수준(전년 대비)(tblId=DT_142018N_137); 전년 대비 당해년도 업황(tblId=DT_421001N_018),,,판단불가,101,DT_1PB_1001,11,T00,Y,"[Claude 검토] 개인사업자 대출액 전년대비 29.9% 증가, 동일 대출 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04771,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,"1년 동안 60대 이상 채무불이행자 수는 2만795명에서 3만1689명으로 52.4% 늘었고, 보유 대출금액 역시 5조1840억원에서 7조8920억원으로 52.2% 급증했다.",비율·증감률,비율·증감률; 금액; 인원수; 날짜·시간,True,60대,고령층 채무불이행자 수와 이들의 대출잔액의 증가세도 가팔랐다.,"고령층의 경우 생계형으로 창업하는 경우가 많아 상대적으로 수익성이 낮고, 경기 침체 국면에서 큰 타격을 받은 것으로 보인다.","[1, 795, 1689, 52.4, 1840, 8920, 52.2]","['년', '명', '명', '%', '억원', '억원', '%']",[],[],건강체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012531); 건강체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012532); 노인체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012522); 노인체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012523); 60대 여가활동 참여비율 추이(tblId=DT_113_STBL_1014589),,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 60대 이상 채무불이행자/대출금액 증가, 동일 연령별 연체율 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C07301,919,"배우자에 10억, 자녀에 5억 이하 물려주면 상속세 안 낸다",2025-03-12,https://www.chosun.com/economy/economy_general/2025/03/12/FJROC62SMNF2DEPW5X35IAXW5E,지난 2023년 걷힌 상속세(8조5000억원)의 약 24% 수준이다.,비율·증감률,비율·증감률; 금액; 날짜·시간,True,,"공제 확대로 1조7000억원 정도의 세수 감소 효과가 예상되고, 유산취득세 도입으로 개별 상속인이 부담하는 실효세율이 낮아지면서 3000억원 정도의 세수 감소가 예상되기 때문이다.",공제가 늘어나며 과세 대상도 2023년 1만9900명의 절반 수준으로 줄어들 것으로 예상된다.,"[2023, 5000, 24]","['년', '억원', '%']",['2023'],[],아동의 지난 1년 동안의 무단결석 및 가출경험(9-17세)(tblId=DT_117074_2023_A124); 취업 여부 - 지난 1주간 수입 목적 일했는지 여부(tblId=DT_154013_24BB004600); 지난 1주간 경제활동 여부 및 주 평균 근무시간(tblId=DT_154013_24AA002500); 지난 한 해 동안 성혼한 나라 개수(tblId=DT_154017_24CC005200); 지난 1년동안 부모와의 문화예술 관람 및 여행(tblId=DT_1W2C14),,,판단불가,133,DT_133N_611,15133NSJ00,16133T2008_0479,Y,"[Claude 검토] 국세청 상속세 신고현황(연도별) 매칭, 2023년 상속세 총액 대비 비율 계산 필요 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 상속세종류별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C07866,1005,"서빙 로봇, 전화응대 AI… 나 홀로 사장님 ‘디지털 직원’ 골라쓰세요",2025-03-19,https://www.chosun.com/economy/economy_general/2025/03/19/A2S2JD6IBVAYPC2NKKFX32TZAU,1 통계청에 따르면 지난해 우리나라 전체 자영업자 수는 565만7000명이다.,인원수,인원수,True,자영업자,,이 중 직원 없는 ‘나 홀로 사장님’이 422만5000명으로 전체의 74.7%를 차지했다.,[7000],['명'],[],[],자영업자(고용주)의 어려움(tblId=DT_154021_22AA002900); 자영업자(고용주)의 월평균 순수익(tblId=DT_154021_22AA003000); 현 사업 사업자금 조달방법(tblId=DT_43701N_063); 현 사업 사업자금 규모(tblId=DT_43701N_065); 현 사업 준비기간(tblId=DT_43701N_066),,,판단불가,101,DT_1DA7010S,00,T30,Y,"[Claude 검토] 통계청 경제활동인구조사(종사상지위별 취업자/자영업자) 매칭, 전체 자영업자수(565만7000명) 확인 가능",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C07867,1005,"서빙 로봇, 전화응대 AI… 나 홀로 사장님 ‘디지털 직원’ 골라쓰세요",2025-03-19,https://www.chosun.com/economy/economy_general/2025/03/19/A2S2JD6IBVAYPC2NKKFX32TZAU,이 중 직원 없는 ‘나 홀로 사장님’이 422만5000명으로 전체의 74.7%를 차지했다.,비율·증감률,비율·증감률; 인원수,True,,1 통계청에 따르면 지난해 우리나라 전체 자영업자 수는 565만7000명이다.,"2014년 자영업자 수는 572만명, 1인 자영업자는 413만9000명이었다.","[5000, 74.7]","['명', '%']",[],[],업체 대표 또는 직원 상대 시 부당한 경험의 확인 : 계약서에 없는 추가비용 요구(tblId=DT_154017_24DD005500); 업체 대표 또는 직원 상대 시 부당한 경험의 확인 :  계약서에 없는 추가비용 요구(tblId=DT_154017_20DD062); 산업안전보건 업무 수행 직원 여부(전담부서가 없는 경우)(tblId=DT_380004_C7_1); 산업안전보건 업무 수행 직원 중 가장 높은 직급(전담부서가 없는 경우)(tblId=DT_380004_C7_1_1); 산업안전보건 업무 수행 직원 여부(전담부서가 없는 경우)(tblId=DT_380004_MS7_1),,,판단불가,101,DT_1DA7010S,00,T30,Y,"[Claude 검토] 통계청 경제활동인구조사(종사상지위별 취업자/자영업자) 매칭, 고용원 없는 자영업자 비율 확인 가능",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C08974,1160,“돈 못 갚아요” 자영업자 저축은행 연체율 9년여 만에 최고치,2025-03-31,https://www.chosun.com/economy/economy_general/2025/03/31/2RJUSYPX5RFTPAAUAFTPTVJ5RM,31일 한국은행이 국회 기획재정위 박성훈 의원(국민의힘)과 행정안전위 양부남 의원(더불어민주당)에게 제출한 ‘개인사업자대출 세부 업권별 연체율’ 자료에 따르면 작년 4분기 말 저축은행 연체율(1개월 이상 연체 기준)은 11.7%로 집계됐다.,비율·증감률,비율·증감률; 건수·개수; 날짜·시간,True,,1 은행과 2금융권 여러 곳에서 최대한 돈을 빌린 자영업자들이 높은 대출 금리와 소비 부진 등으로 상환 불능 상태에 빠져들며 저축은행 업권에서는 연체율이 10년 내 가장 높은 수준까지 치솟았다.,이는 2015년 2분기(11.87%) 이후 9년 6개월 만에 가장 높은 수준이다.,"[31, 4, 1, 11.7]","['일', '분', '개', '%']",[],[],"의료서비스 만족도 (의원, 13세 이상 인구)(tblId=DT_1SSHE109R); 시도별 표시과목별 의원 현황(tblId=DT_HIRA47); 시군구별 표시과목별 의원 현황(tblId=DT_HIRA4G); 질병군 세부 분류별 진료비 심사실적(의원)(tblId=DT_LEE_33A); 질병군 분류별 요양급여비용 심사실적(의원)(tblId=DT_LEE_33)",,,판단불가,101,DT_1PB_1011,11,T10,Q,"[Claude 검토] 통계청 일자리행정통계(개인사업자의 연체율 총괄) 매칭, 저축은행 업권별 세부 확인 필요",,
