claim_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A2698-C023,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,9~10월 일평균 수출액은 3.2% 증가에 그쳤다.,"미국으로의 수출이 감소세를 지속한 가운데, 반도체를 제외한 품목의 부진으로 일평균 수출액은 완만하게 둔화되는 모습이다.","미국으로의 수출은 자동차를 중심으로 12.9% 감소했고, 중국으로의 수출도 반도체를 제외한 품목을 중심으로 6.8% 감소했다.",True,현재 문장은 9~10월의 일평균 수출액이 3.2% 증가했다고 주장하며 이는 KOSIS 국가통계포털에서 수출액 관련 통계를 통해 검증할 수 있는 내용이다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C024,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"미국으로의 수출은 자동차를 중심으로 12.9% 감소했고, 중국으로의 수출도 반도체를 제외한 품목을 중심으로 6.8% 감소했다.",9~10월 일평균 수출액은 3.2% 증가에 그쳤다.,건설투자의 부진도 지속되고 있다.,True,"미국과 중국으로의 수출액 변화에 대한 구체적인 수치가 포함되어 있으며, 이는 국가 간 교역 데이터를 통해 검증 가능한 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C025,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,건설투자의 부진도 지속되고 있다.,"미국으로의 수출은 자동차를 중심으로 12.9% 감소했고, 중국으로의 수출도 반도체를 제외한 품목을 중심으로 6.8% 감소했다.",9월 건설기성은 전년 동월 대비 4.3% 감소했다.,True,"건설투자의 부진이 지속된다는 내용은 경제 활동의 변화를 나타내며, 이는 국가 통계 포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용입니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C026,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,9월 건설기성은 전년 동월 대비 4.3% 감소했다.,건설투자의 부진도 지속되고 있다.,"조업일수 확대로 감소폭이 다소 완화됐으나, 건설투자는 여전히 부진한 것으로 KDI는 판단했다.",True,건설기성의 전년 동월 대비 감소율을 언급하며 이는 국가통계포털(KOSIS)에서 확인할 수 있는 정보이기 때문에 True로 판정합니다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C027,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"조업일수 확대로 감소폭이 다소 완화됐으나, 건설투자는 여전히 부진한 것으로 KDI는 판단했다.",9월 건설기성은 전년 동월 대비 4.3% 감소했다.,3분기 국민계정상 건설투자가 전기 대비로도 0.1% 감소세를 이어가고 있어 건설투자는 여전히 부진한 것으로 분석됐다.,True,"문장에서 건설투자의 부진함을 언급하며, 이는 KDI의 판단이라고 명시되어 있습니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C028,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,3분기 국민계정상 건설투자가 전기 대비로도 0.1% 감소세를 이어가고 있어 건설투자는 여전히 부진한 것으로 분석됐다.,"조업일수 확대로 감소폭이 다소 완화됐으나, 건설투자는 여전히 부진한 것으로 KDI는 판단했다.","부동산 프로젝트파이낸싱(PF) 대출 강화와 지방 부동산경기 둔화 등으로 수주가 착공으로 원활하게 연결되지 못하고, 공사 기간도 확대되면서 건설투자의 부진이 지속되고 있다는 설명이다.",True,"현재 문장은 3분기 국민계정상 건설투자가 전기 대비로도 0.1% 감소세를 이어가고 있다고 명시하며, 이는 KOSIS 국가통계포털에서 관련 통계를 통해 검증 가능한 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C029,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"부동산 프로젝트파이낸싱(PF) 대출 강화와 지방 부동산경기 둔화 등으로 수주가 착공으로 원활하게 연결되지 못하고, 공사 기간도 확대되면서 건설투자의 부진이 지속되고 있다는 설명이다.",3분기 국민계정상 건설투자가 전기 대비로도 0.1% 감소세를 이어가고 있어 건설투자는 여전히 부진한 것으로 분석됐다.,"KDI는 “한·미 무역협정 진전, 미·중 무역 긴장 완화 등 통상여건이 일부 개선됐으나 불확실성은 상존한다”고 덧붙였다.",True,"현재 문장은 건설 투자 부진의 원인을 설명하며, 이는 KOSIS 국가통계포털에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C001,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,True,"문장에서 언급된 '올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치 기록'이라는 내용은 특정 시점에서의 경제 활동 및 산업 동향에 대한 구체적인 수치 정보를 포함하고 있으며, 이는 국가 통계 자료로서 KOSIS에서 관련 데이터를 통해 검증할 수 있을 것으로 보인다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C002,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,전체 수출이 늘어도 중소·중견기업이 체감하는 효과는 제한적이어서 수출 증가세가 경제 전반의 활력으로 이어지지 못하고 있다는 지적이 나온다.,True,"현재 문장은 반도체 수출 호황으로 대기업 실적이 개선되고 있으며, 이로 인해 수출이 소수 대기업에 집중된다는 내용을 포함하고 있습니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C003,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,전체 수출이 늘어도 중소·중견기업이 체감하는 효과는 제한적이어서 수출 증가세가 경제 전반의 활력으로 이어지지 못하고 있다는 지적이 나온다.,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",True,"현재 문장은 중소기업 및 중견기업의 수출 효과가 경제 전반에 미치는 영향에 대한 지적을 포함하며, 이는 국내 경제 활동과 관련된 통계적인 분석이므로 KOSIS를 통해 검증될 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C004,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",전체 수출이 늘어도 중소·중견기업이 체감하는 효과는 제한적이어서 수출 증가세가 경제 전반의 활력으로 이어지지 못하고 있다는 지적이 나온다.,이는 2015년 기업 특성별 분기 통계 작성 이래 가장 높은 수치다.,True,"문장에서 '3분기 수출액 상위 10개 기업의 무역집중도가 지난해 3분기 대비 상승했다'라는 구체적인 통계적 변화를 언급하고 있으며, 이 정보는 KOSIS를 통해 검증 가능하다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C005,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,이는 2015년 기업 특성별 분기 통계 작성 이래 가장 높은 수치다.,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",삼성전자·SK하이닉스 등 반도체 기업과 현대차·LG 등 상위 10개 기업이 전체 수출의 40%를 차지한 셈이다.,True,"현재 문장은 '기업 특성별 분기 통계 작성 이래 가장 높은 수치'라는 표현을 통해 특정한 통계적 변화를 주장하고 있으며, 이 정보는 KOSIS 등의 공식 통계를 통해 검증될 수 있다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C006,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,삼성전자·SK하이닉스 등 반도체 기업과 현대차·LG 등 상위 10개 기업이 전체 수출의 40%를 차지한 셈이다.,이는 2015년 기업 특성별 분기 통계 작성 이래 가장 높은 수치다.,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,True,"현재 문장은 삼성전자와 SK하이닉스 등 반도체 기업 및 현대차, LG 등 상위 10개 기업이 전체 수출의 40%를 차지한다는 내용을 포함하며, 이는 국내 경제 관련 통계로서 KOSIS에서 해당 통계를 찾아볼 수 있을 것으로 판단됩니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C007,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,삼성전자·SK하이닉스 등 반도체 기업과 현대차·LG 등 상위 10개 기업이 전체 수출의 40%를 차지한 셈이다.,톱10 기업과 그 다음 90개 기업 간 수출 격차가 벌어지면서 대기업 내에서도 양극화가 진행되는 것으로 풀이된다.,True,"현재 문장은 상위 100대 기업의 무역집중도가 0.2%포인트 하락했다는 내용을 포함하며, 이는 국내 경제 및 산업 관련 통계로서 KOSIS에서 해당 데이터를 찾아 대조할 수 있는 내용입니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C008,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,톱10 기업과 그 다음 90개 기업 간 수출 격차가 벌어지면서 대기업 내에서도 양극화가 진행되는 것으로 풀이된다.,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,True,문장에서 '톱10 기업과 그 다음 90개 기업 간 수출 격차가 벌어지면서 대기업 내에서도 양극화가 진행된다'는 내용은 대기업 간의 수출 차이를 나타내며 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C009,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,톱10 기업과 그 다음 90개 기업 간 수출 격차가 벌어지면서 대기업 내에서도 양극화가 진행되는 것으로 풀이된다.,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,True,"현재 문장은 대기업 및 중견기업의 수출액 증가를 언급하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C010,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,True,"현재 문장은 중견기업의 수출액이 7.0% 증가하여 분기 최고치를 기록했다는 내용을 포함하고 있으며, 이는 KOSIS 국가통계포털에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C011,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",True,현재 문장은 중소기업의 수출액이 298억 달러로 11.9% 증가했다고 주장합니다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C012,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,중견기업(17.5%)과 중소기업(16.1%) 비중도 거의 변하지 않았다.,True,"현재 문장은 전체 수출에서 대기업이 차지하는 비중이 지난해 3분기와 비슷하다는 내용을 포함하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C013,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,중견기업(17.5%)과 중소기업(16.1%) 비중도 거의 변하지 않았다.,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.","수출 기업 수가 6만9808개로 4.5% 늘었지만, 대다수 기업들이 체감하는 수출 증가 효과는 미미한 것이다.",True,"현재 문장은 중견기업과 중소기업의 수출 비중이 거의 변하지 않았다는 내용을 포함하고 있으며, 이는 국내 경제 및 산업 관련 통계로서 KOSIS에서 확인 가능한 정보일 가능성이 높습니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C014,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"수출 기업 수가 6만9808개로 4.5% 늘었지만, 대다수 기업들이 체감하는 수출 증가 효과는 미미한 것이다.",중견기업(17.5%)과 중소기업(16.1%) 비중도 거의 변하지 않았다.,한 중견기업 관계자는 “반도체 호황 소식은 뉴스에서만 보이지 우리 같은 중견기업들은 원자재 가격 상승과 환율 변동으로 마진이 더 악화됐다”며 “대기업 실적이 좋다고 해서 전체 경제가 좋아진 것처럼 보이는 건 착시”라고 말했다.,True,현재 문장은 수출 기업 수가 증가한 것에 비해 대다수 기업들이 체감하는 수출 증가 효과가 미미하다는 내용을 담고 있습니다. 이는 수출 기업의 수와 실제 수출 효과를 비교하여 통계적인 변화를 언급하고 있기 때문에 KOSIS를 통해 검증할 수 있는 내용입니다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2700-C016,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"◇반도체 호황, 내수로 안 퍼져 재화 성질별로 보면 반도체와 자동차, 디스플레이, 유·무선 통신기기 등으로 대표되는 자본재 수출은 1110억달러로 11.2% 증가하며 8개 분기 연속 상승세를 기록했다.",한 중견기업 관계자는 “반도체 호황 소식은 뉴스에서만 보이지 우리 같은 중견기업들은 원자재 가격 상승과 환율 변동으로 마진이 더 악화됐다”며 “대기업 실적이 좋다고 해서 전체 경제가 좋아진 것처럼 보이는 건 착시”라고 말했다.,자본재 중에서도 반도체 등 IT부품이 511억달러로 24.3% 급증했다.,True,"현재 문장은 반도체 및 관련 제품의 자본재 수출이 증가한 수치적인 정보를 포함하고 있으며, 이는 국가통계포털(KOSIS)에서 해당 기간 동안의 수출 데이터를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
