claim_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A0001-C015,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,"배 씨의 작은 사위는 졸지에 장인·장모, 아내와 세 자녀를 잃었다.",이들 5명과 작은 딸과 세 자녀까지 모두 9명이 함께 여행을 갔다가 영영 돌아오지 못했다.,광주에서 일하는 큰사위는 주말마다 집을 찾았다고 한다.,False,"현재 문장은 가족 구성원의 비극적인 사건에 대한 서술로서, 수치나 통계적 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C016,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,31일 오후까지 9명 중 신원 확인이 되지 않은 이들은 3명이다.,"배 씨의 작은 사위는 졸지에 장인·장모, 아내와 세 자녀를 잃었다.",이들 5명과 작은 딸과 세 자녀까지 모두 9명이 함께 여행을 갔다가 영영 돌아오지 못했다.,False,"현재 문장은 사고로 인한 실종자 수를 언급하고 있으며, 이는 단순한 사건 정보로서 KOSIS에서 검증 가능한 통계적 주장과는 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C017,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,"푸딩이의 친구였던 정 양과 배씨의 작은딸, 작은딸의 막내아들의 신원이 확인되지 않아 장례를 치르지 못하고 있다.",31일 오후까지 9명 중 신원 확인이 되지 않은 이들은 3명이다.,"배 씨의 작은 사위는 졸지에 장인·장모, 아내와 세 자녀를 잃었다.",False,"현재 문장은 특정한 사건에서의 신원 미확인 상황에 대한 내용으로, 이는 단순한 현장 상황 보고이지 KOSIS에서 검증 가능한 통계적 주장과는 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C001,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,,,False,"폴크스바겐의 전기차 운행 데이터와 소유주 정보 관리 문제는 개별 기업의 문제로, 국가통계포털(KOSIS)에서 다루는 일반적인 통계와는 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C002,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,,False,"현재 문장은 폴크스바겐의 소프트웨어 관리에서의 약점에 대한 지적을 담고 있으며, 이는 특정한 수치나 통계적인 변화를 주장하는 것이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C003,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,다만 회사 측은 “차량 소유주의 개인 정보가 외부로 유출된 흔적은 나오지 않았다”고 밝혔다.,전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,False,"현재 문장은 폴크스바겐 측의 해명으로, 차량 소유주의 개인 정보 유출 여부에 대한 단순한 진술이므로 KOSIS 통계로 검증 가능한 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C004,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",다만 회사 측은 “차량 소유주의 개인 정보가 외부로 유출된 흔적은 나오지 않았다”고 밝혔다.,전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.,False,"현재 문장은 폴크스바겐 그룹 차량에서 수집된 데이터가 암호화되지 않은 채로 방치되었다는 사실을 보도하고 있으며, 이는 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C005,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.","지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",다만 회사 측은 “차량 소유주의 개인 정보가 외부로 유출된 흔적은 나오지 않았다”고 밝혔다.,False,"현재 문장은 차량 소유주의 개인 정보 및 주행 데이터가 어떻게 저장되었는지에 대한 설명이므로, 이는 개별 사건에 대한 정보이지 국가집계 통계의 변화나 비교를 다루는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C006,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,차량 위치 정보의 경우 10cm 단위까지 구별될 정도로 정확도가 높았다고 한다.,"전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.","지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",False,차량 위치 정보의 정확도에 대한 정보는 KOSIS에서 제공하는 통계와는 관련이 없습니다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C007,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,차량 위치 정보의 경우 10cm 단위까지 구별될 정도로 정확도가 높았다고 한다.,"전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.",True,"현재 문장은 특정 지역에서의 전기차 등록 대수에 대한 정보를 제공하고 있으며, 이는 인구 및 가구 관련 통계로서 KOSIS에서 해당 지역의 자동차 등록 현황 등을 통해 검증할 수 있을 것으로 보인다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C008,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"이번 문제는 폴크스바겐 내부 고발자가 슈피겔과 독일 보안 해커 단체인 CCC에 제보하면서 알려졌고, 회사는 뒤늦게 해당 정보에 대한 외부 접근을 막는 조치를 취했다.",대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,차량 위치 정보의 경우 10cm 단위까지 구별될 정도로 정확도가 높았다고 한다.,False,"현재 문장은 폴크스바겐 내부 고발자의 제보 및 회사의 조치에 관한 내용으로, 이는 특정한 수치나 통계적 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0002-C009,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"폴크스바겐 측은 “우리가 아는 한 해커 단체 외에 시스템에 접근한 경우가 없고, 개인 비밀번호나 결제 정보 등은 해당 없다”고 했다.","이번 문제는 폴크스바겐 내부 고발자가 슈피겔과 독일 보안 해커 단체인 CCC에 제보하면서 알려졌고, 회사는 뒤늦게 해당 정보에 대한 외부 접근을 막는 조치를 취했다.",대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,False,"폴크스바겐 측의 발언은 특정 사건에 대한 설명으로, KOSIS에서 검증 가능한 수치나 통계적 변화와 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C001,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",,,True,"최저임금의 변화에 대한 정보로, 이는 고용 및 노동 관련 통계로서 KOSIS에서 확인 가능한 내용입니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C002,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",,True,주 근로시간 40시간을 기준으로 환산한 월급 금액을 제시하며 이는 노동 및 복지 관련 통계 정보로서 KOSIS에서 확인 가능한 내용이다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C003,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다.",주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",False,"현재 문장은 최저임금에 포함되는 항목들에 대한 설명을 하고 있으며, 이는 특정한 수치나 통계적인 변화를 주장하는 것이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C004,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다.,"매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다.",주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,False,"현재 문장은 정책 변화에 대한 정보 제공이지만, 이는 특정한 수치나 통계적 변화를 주장하는 것이 아니므로 KOSIS 통계로 검증 가능한 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C005,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다.,▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다.,"매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다.",False,"육아휴직을 여러 번 나누어 사용할 수 있다는 내용은 정책 변화에 대한 정보이지만, 이는 수치나 통계적인 변화를 주장하는 것이 아니므로 KOSIS 통계로 검증할 수 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C006,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다.,▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다.,False,"육아휴직 급여 인상에 대한 내용은 특정한 개인에게 적용되는 정책 변경 사항이므로, 이는 KOSIS에서 제공하는 국가 통계의 범주에 속하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C007,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다.,False,"현재 문장은 육아휴직 급여의 구체적인 금액 및 기간에 대한 정보를 제공하고 있지만, 이는 특정한 개인이나 집단의 소득 변화에 관한 것이 아니라 정책 변경 사항이므로 KOSIS 통계로 검증 가능한 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C008,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,True,"육아휴직 급여의 최대 금액 변화에 대한 수치적인 정보를 제공하고 있으며, 이는 국가 정책 및 고용 관련 통계로서 KOSIS에서 확인 가능한 정보일 가능성이 높습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C009,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다.,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",False,배우자 출산휴가 기간 확대에 대한 내용은 KOSIS에서 제공하는 통계와는 관련이 없습니다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
