claim_id,claim_text,obj_l1_matched,itm_id_matched
C04956,반면 이 기간 근로소득세 세수 비율은 14.5%에서 18.1%로 관련 통계가 확인된 2005년 이래 최대다.,15133SMB000101010102:근로소득세(납세조합징수분을); 15133SMB0001010102001:근로소득세(갑); 15133SMB000101010204:근로소득세; 15133SMB0E0101010102:근로소득세(납세조합징수분을); 15133SMB0E0101010204:근로소득세(갑); 15133SMB0E0101010204A:근로소득세; 15133SMB0F0101010102:근로소득세(납세조합징수분을); 15133SMB0F0101010204:근로소득세(갑); 15133SMB0F0101010204A:근로소득세,
C06664,"한은에 따르면 GNI 대비 PGDI 비율은 한은이 해당 통계 작성을 시작한 1975년에는 77.5%였는데, 지난 2023년 53.9%로 역대 최저치로 떨어졌다.",13102136260ACC_ITEM.1600:국민총소득(GNI),
C08314,"특히 작년 4분기 중산층(3분위 가구) 비소비지출은 77만7000원으로, 1년 전보다 12.8% 늘었다.",W:비소비지출,
C08317,"이자 비용 역시 1.2% 늘어난 10만8000원으로, 10만원 선을 넘어섰다.",W6:이자비용,
C08318,교육비 지출은 13.2% 늘어난 14만5000원으로 집계됐다.,,
C08319,전체 가구의 교육비 평균 증가율이 0.4%라는 점을 감안하면 중산층에서 유독 큰 폭으로 늘어난 셈이다.,,
C16301,동시에 서울 아파트 월세지수는 전녀 대비 10.3% 상승했다.,a7:서울,
C19493,"이어 “세수를 점검해 보니 2022년도에 총국세가 396조원이었는데, 2023년도에는 344조원, 지난해에도 337조원으로 줄었고 올해는 10조원 이상의 (세입) 경정을 한 상황”이라며 “법인세 같은 경우는 2022년도 100조원에서 작년도에는 거의 한 60조원까지 4",,
C19573,구 후보자는 “윤석열 정부는 세금을 깎아 주면 기업이 투자를 하고 그게 선순환 구조로 갈 거라고 예상을 했다고 생각한다”며 “그러나 세수를 점검해 보니 법인세는 2022년 거의 100조원에서 지난해 한 60조원으로 40%나 빠지며 성장도 소비도 투자도 줄어드는 상황”이,15133SMB00010102:법인세; 15133SMB0E010102:법인세; 15133SMB0F010102:법인세,
C20422,1975년 4.2%였던 1인 가구 비율은 2020년 세 집 중 한 집꼴(31.7%)로 크게 늘었다.,00:전국,T1:1인
