gold_id,claim_id,article_id,title,date,url,claim_text,claim_type,claim_value,claim_unit,gold_label,gold_label_tier,gold_verifiable,gold_ready,human_reviewed,gold_org_id,gold_tbl_id,gold_tbl_name,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_item_name,gold_category_name,gold_prd_se,gold_period,gold_previous_period,gold_source_value,gold_previous_source_value,gold_source_unit,gold_actual_value,gold_derivation_method,gold_coordinate_status,gold_label_source,gold_evidence_url,gold_evidence_batch,gold_retrieved_at,semantic_audit_status,semantic_audit_reason,semantic_indicator,semantic_indicator_explicit,semantic_table_item_mismatch_detail,semantic_explicit_concept_mismatch,semantic_claim_unit_dimension,semantic_source_unit_dimension,semantic_derived_mapping,semantic_claim_prd_se,semantic_claim_period,semantic_claim_previous_period,coordinate_audit_status,coordinate_audit_reason,official_tbl_name,official_itm_name,official_itm_unit,mcp_verification_id,mcp_search_keyword,mcp_search_status,mcp_validate_status,mcp_get_data_status,mcp_actual_value,mcp_previous_actual_value,mcp_actual_unit,mcp_coordinate_confirmed,mcp_value_confirmed,mcp_series_note,mcp_retrieved_at,mcp_evidence_url
MCPG-021,C10172,A1313,대기업 의존하던 中企… 이젠 K뷰티·첨단 장비 ‘독자 수출’,2025-04-11,https://www.chosun.com/economy/industry-company/2025/04/11/LZREOYA2CZCXVDFDG6FBQEH56A,"◇화장품, K중기 글로벌 진출의 ‘간판’ 작년 우리 중소기업의 화장품 수출액은 약 68억달러(약 9조9200억원)로, 국내 화장품 전체 수출(102억달러) 중 67%를 차지한다.",LEVEL,102.0,"['억원', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.553,N/A,13103112831T1,수출액,향수 및 화장품화장용품(비누제외),Y,2024,N/A,9829853.0,N/A,천달러,98.29852999999999,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.436Z,PASS,,수출액,Y,,,currency,currency,N,Y,2024,2023,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-006,품목별 수출액 향수 화장품 화장용품,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,9829853,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-030,C00081,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,LEVEL,472.0,['년'],REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2022,N/A,683584760.0,N/A,천달러,6835.847600000001,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,1-20,2026-08-05T08:24:47.181Z,PASS,,수출액,Y,,,currency,currency,N,Y,2022,,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-001,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,683584760,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-042,C01332,A0185,"수입차 시장, IMF 이후 처음 2년 연속 역성장",2025-01-15,https://www.chosun.com/economy/auto/2025/01/15/MS2YWXFVJVFGVKZPZIJZ6DXAAU,4 작년 국내 수입차 판매량이 2.9% 줄며 2년 연속 감소세를 기록했다.,CHANGE_RATE,2.9,"['%', '년']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T2,수입액,총액,Y,2024,2023,631767209.0,642572126.0,천달러,-1.6815103803615659,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,1-20,2026-08-05T08:24:47.190Z,PASS,,수입액,Y,,,rate,currency,Y,Y,2024,2023,PASS,,"품목별 수출액, 수입액",수입액,천달러,KOSIS-ACTUAL-007,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,631767209,642572126,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-045,C02701,A0353,"연두색 번호판 창피해서 못 탄다?…1억 이상 수입차 판매량, 결국",2025-01-28,https://www.chosun.com/economy/economy_general/2025/01/28/FXUVCK5BXRBB5N6XQBFXYFPDYE,"2022년에도 39.1%로, 40% 가까운 이들이 법인 명의로 수입차를 등록했다.",LEVEL,40.0,"['년', '%', '%']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T2,수입액,총액,Y,2022,N/A,731369657.0,N/A,천달러,731369657.0,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,1-20,2026-08-05T08:24:47.192Z,PASS,,수입액,Y,,,rate,currency,N,Y,2022,,PASS,,"품목별 수출액, 수입액",수입액,천달러,KOSIS-ACTUAL-007,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,731369657,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-074,C00592,A0070,대중-대미 수출 격차 21년 만 최소...트럼프 2기 미국 수출 1위 올라서나,2025-01-06,https://www.chosun.com/economy/economy_general/2025/01/06/BXDMXSYJWZDNDOGA5VONBDMCWY,"그러나 이후 대미 수출액이 매년 역대 최대치를 갱신하며, 2022년(1097억6600만달러) 처음으로 1000억달러선을 넘어섰다.",LEVEL,1000.0,['년'],REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11006_FRM101,국가별 수출액 수입액,13102103829E.US,N/A,13103103829T1,수출액,미국,Y,2022,N/A,109765705.0,N/A,천달러,1097.65705,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,21-60,2026-08-05T08:31:33.627Z,PASS,,수출액,Y,,,currency,currency,N,Y,2022,,PASS,,"국가별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-008,국가별 수출액 수입액 미국,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,109765705,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&conn_path=MT_ZTITLE
MCPG-085,C03105,A0392,"전기차 겨울 주행거리 ‘최강자는 나야, 나’",2025-01-31,https://www.chosun.com/economy/auto/2025/01/31/H5FWFVF6JJDEJIOVAHFJTXQFDY,지난해 테슬라가 처음 수입차 3위로 처음 오르는 데 주효했던 중국산 ‘모델 Y(후륜구동)’는 상온 대비 저온 주행거리 비율이 77.8%에 그쳤다.,LEVEL,77.8,['%'],REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11006_FRM101,국가별 수출액 수입액,13102103829E.CN,N/A,13103103829T2,수입액,중국,Y,2024,N/A,139878481.0,N/A,천달러,139878481.0,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,21-60,2026-08-05T08:31:33.628Z,PASS,,수입액,Y,,,rate,currency,N,Y,2024,2023,PASS,,"국가별 수출액, 수입액",수입액,천달러,KOSIS-ACTUAL-009,국가별 수출액 수입액 중국,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,139878481,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&conn_path=MT_ZTITLE
MCPG-092,C08407,A1089,요소 비축 54일분→70일분 확대...핵심 광물 재자원화 R&D 세제 지원도,2025-03-25,https://www.chosun.com/economy/economy_general/2025/03/25/6I5OOM6D35AC5F5ZEM6KUYTROY,"요소를 가공해 만든 요소수는 배기가스 배출 저감장치를 부착한 화물차에 필수적인데, 지난 2011년 국내 생산이 중단된 이후 요소 수입은 100% 중국에 의존하는 실정이었다.",LEVEL,100.0,"['년', '%']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11006_FRM101,국가별 수출액 수입액,13102103829E.CN,N/A,13103103829T2,수입액,중국,Y,2011,N/A,86432238.0,N/A,천달러,86432238.0,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,61-120,2026-08-05T08:35:53.791Z,PASS,,수입액,Y,,,rate,currency,N,Y,2011,,PASS,,"국가별 수출액, 수입액",수입액,천달러,KOSIS-ACTUAL-009,국가별 수출액 수입액 중국,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,86432238,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11006_FRM101&conn_path=MT_ZTITLE
MCPG-145,C01344,A0187,崔 대행 “취약부문별 맞춤형 일자리 지원 방안 마련하라”,2025-01-15,https://www.chosun.com/economy/economy_general/2025/01/15/54OHUQPUSZHNFPOOJF6PA7N3QI,지난달 취업자 수가 46개월 만에 5만2000명(전년 동기 대비) 감소 전환한 데 따른 조치다.,CHANGE_RATE,2000.0,"['개', '명']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7001S,성별 경제활동인구 총괄,0,N/A,T30,취업자,계,M,202412,202312,28041.1,28092.9,천명,-0.18438822620663195,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,121-160,2026-08-05T08:45:04.849Z,PASS,,취업자,Y,,,person_count,person_count,Y,M,202412,202312,PASS,,성별 경제활동인구 총괄,취업자,천명,KOSIS-ACTUAL-010,성별 경제활동인구 총괄 취업자,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,28041.1,28092.9,천명,Y,Y,KOSIS 조사연혁상 요청 기간에 2023년 표본 개편 이력이 있어 연결 해석 주의,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&conn_path=MT_ZTITLE
MCPG-147,C03859,A0491,4%로 떨어진 美 실업률...금리 인하 전망 줄어,2025-02-07,https://www.chosun.com/economy/economy_general/2025/02/07/X4YBFCHS5FGHTPPSUDTKHI6V7Q,"그러나 1월 실업률은 4%를 기록, 전월(4.1%)보다 낮았다.",LEVEL,4.1,"['월', '%', '%']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7001S,성별 경제활동인구 총괄,0,N/A,T80,실업률,계,M,202501,N/A,3.7,N/A,%,3.7,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,121-160,2026-08-05T08:45:04.849Z,PASS,,실업률,Y,,,rate,rate,N,M,202501,202412,PASS,,성별 경제활동인구 총괄,실업률,%,KOSIS-ACTUAL-011,성별 경제활동인구 총괄 실업률,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,3.7,N/A,%,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&conn_path=MT_ZTITLE
MCPG-149,C04585,A0579,1월 취업자 13.5만명 늘어...노인 일자리 신속 집행에 일시 호조,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/CMQ2GGIF6NFVFOK7NS472SUCSM,"대표적으로 도·소매업 취업자는 전년 동월 대비 9만1000명 감소하는 데 그치며, 지난해 8월(-5만5000명) 이후 5개월 만에 최저 감소폭을 보였다.",CHANGE_RATE,5000.0,"['명', '월', '명', '개']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7001S,성별 경제활동인구 총괄,0,N/A,T30,취업자,계,M,202408,202308,28800.8,28678.0,천명,0.42820280354278284,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,121-160,2026-08-05T08:45:04.849Z,PASS,,취업자,Y,,,person_count,person_count,Y,M,202408,202308,PASS,,성별 경제활동인구 총괄,취업자,천명,KOSIS-ACTUAL-010,성별 경제활동인구 총괄 취업자,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,28800.8,28678,천명,Y,Y,KOSIS 조사연혁상 요청 기간에 2023년 표본 개편 이력이 있어 연결 해석 주의,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&conn_path=MT_ZTITLE
MCPG-151,C04949,A0628,월급쟁이가 낸 세금 첫 60조원 돌파… 법인세 육박,2025-02-18,https://www.chosun.com/economy/economy_general/2025/02/18/ACYHDWUYD5CGBP3AODXWYTSYVQ,"통계청에 따르면, 지난해 취업자는 전년보다 16만명 늘었는데 임금 근로자는 21만5000명 늘었다.",CHANGE_RATE,16.0,['명'],REFUTES,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7001S,성별 경제활동인구 총괄,0,N/A,T30,취업자,계,Y,2024,2023,28575.5,28416.3,천명,0.5602418330324522,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,121-160,2026-08-05T08:45:04.849Z,PASS,,취업자,Y,,,person_count,person_count,Y,Y,2024,2023,PASS,,성별 경제활동인구 총괄,취업자,천명,KOSIS-ACTUAL-012,성별 경제활동인구 총괄 취업자,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,28575.5,28416.3,천명,Y,Y,KOSIS 조사연혁상 요청 기간에 2023년 표본 개편 이력이 있어 연결 해석 주의,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&conn_path=MT_ZTITLE
MCPG-158,C13415,A1752,제조업 취업자 6년 만에 최대 감소,2025-05-15,https://www.chosun.com/economy/economy_general/2025/05/15/YJZYOKBKABHNNK6M34RI6QJREA,제조업은 지난달 기준 취업자 수가 439만7000명으로 전체 취업자의 15.2%를 차지하는 ‘일자리 창출 1위 업종’이다.,LEVEL,15.2,"['명', '%']",REFUTES,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7001S,성별 경제활동인구 총괄,0,N/A,T30,취업자,계,M,202504,N/A,28887.0,N/A,천명,28887.0,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,121-160,2026-08-05T08:45:04.850Z,PASS,,취업자,Y,,,rate,person_count,N,M,202504,,PASS,,성별 경제활동인구 총괄,취업자,천명,KOSIS-ACTUAL-010,성별 경제활동인구 총괄 취업자,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,28887,N/A,천명,Y,Y,KOSIS 조사연혁상 요청 기간에 2023년 표본 개편 이력이 있어 연결 해석 주의,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S&conn_path=MT_ZTITLE
MCPG-195,C00515,A0057,"“보험사, 올해 경기 불확실성 확대로 인한 유동성 모니터링 강화해야”",2025-01-05,https://www.chosun.com/economy/money/2025/01/05/4RQQJHQPRSPR4FCEJPVQ2FVIJE,연구원은 올해 내수가 완만히 개선되는 가운데 수출 증가세가 둔화하면서 경제성장률은 작년에 비해 다소 하락한 2% 수준이 될 것으로 예상했다.,CHANGE_RATE,2.0,['%'],REFUTES,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2024,2023,683609488.0,632225824.0,천달러,8.127422520469521,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,161-200,2026-08-06T00:35:15.662Z,PASS,,수출액,Y,,,rate,currency,Y,Y,2024,2023,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-001,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,683609488,632225824,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
